"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Lumensyvyys [cm]","Sademäärä [mm]","Ilman keskilämpötila [°C]"
"Rovaniemi Apukka","2020","1","1","02:00","52","1.2","-9.6"
"Rovaniemi Apukka","2020","1","2","02:00","52","1.4","2.1"
"Rovaniemi Apukka","2020","1","3","02:00","49","1.8","1.5"
"Rovaniemi Apukka","2020","1","4","02:00","48","-1","-7.4"
"Rovaniemi Apukka","2020","1","5","02:00","48","0.7","-16.2"
"Rovaniemi Apukka","2020","1","6","02:00","48","0.7","-5"
"Rovaniemi Apukka","2020","1","7","02:00","48","3.8","0.4"
"Rovaniemi Apukka","2020","1","8","02:00","49","1","1.2"
"Rovaniemi Apukka","2020","1","9","02:00","46","-1","-0.2"
"Rovaniemi Apukka","2020","1","10","02:00","45","-1","-9.8"
"Rovaniemi Apukka","2020","1","11","02:00","45","5.8","-8.6"
"Rovaniemi Apukka","2020","1","12","02:00","50","0.4","-2.8"
"Rovaniemi Apukka","2020","1","13","02:00","50","-1","-17"
"Rovaniemi Apukka","2020","1","14","02:00","49","5.7","-6.9"
"Rovaniemi Apukka","2020","1","15","02:00","58","-1","-0.5"
"Rovaniemi Apukka","2020","1","16","02:00","56","1.4","-9.6"
"Rovaniemi Apukka","2020","1","17","02:00","55","0.2","-10.9"
"Rovaniemi Apukka","2020","1","18","02:00","58","10.7","-6.2"
"Rovaniemi Apukka","2020","1","19","02:00","71","1.5","-5.3"
"Rovaniemi Apukka","2020","1","20","02:00","70","3.8","-2"
"Rovaniemi Apukka","2020","1","21","02:00","68","-1","-2"
"Rovaniemi Apukka","2020","1","22","02:00","67","-1","-8.7"
"Rovaniemi Apukka","2020","1","23","02:00","67","3.5","-9.9"
"Rovaniemi Apukka","2020","1","24","02:00","70","-1","-12.3"
"Rovaniemi Apukka","2020","1","25","02:00","69","-1","-19.5"
"Rovaniemi Apukka","2020","1","26","02:00","67","-1","-27.2"
"Rovaniemi Apukka","2020","1","27","02:00","67","0.3","-24.9"
"Rovaniemi Apukka","2020","1","28","02:00","71","2.7","-12.1"
"Rovaniemi Apukka","2020","1","29","02:00","70","1.4","-9.2"
"Rovaniemi Apukka","2020","1","30","02:00","73","1.2","-7.6"
"Rovaniemi Apukka","2020","1","31","02:00","72","1","-8.7"
"Rovaniemi Apukka","2020","2","1","02:00","73","2.7","-11"
"Rovaniemi Apukka","2020","2","2","02:00","75","0.8","-9.5"
"Rovaniemi Apukka","2020","2","3","02:00","74","-1","-7.7"
"Rovaniemi Apukka","2020","2","4","02:00","73","-1","-20.7"
"Rovaniemi Apukka","2020","2","5","02:00","73","-1","-23.1"
"Rovaniemi Apukka","2020","2","6","02:00","72","-1","-10.7"
"Rovaniemi Apukka","2020","2","7","02:00","68","3.9","-13.9"
"Rovaniemi Apukka","2020","2","8","02:00","71","3","-7.7"
"Rovaniemi Apukka","2020","2","9","02:00","74","7.5","-0.4"
"Rovaniemi Apukka","2020","2","10","02:00","78","5.7","1.1"
"Rovaniemi Apukka","2020","2","11","02:00","72","1.1","0.4"
"Rovaniemi Apukka","2020","2","12","02:00","73","0.6","-0.8"
"Rovaniemi Apukka","2020","2","13","02:00","72","-1","-0.7"
"Rovaniemi Apukka","2020","2","14","02:00","73","-1","-5.7"
"Rovaniemi Apukka","2020","2","15","02:00","73","1.9","-7.9"
"Rovaniemi Apukka","2020","2","16","02:00","76","13.4","-1.2"
"Rovaniemi Apukka","2020","2","17","02:00","82","0.6","-0.1"
"Rovaniemi Apukka","2020","2","18","02:00","80","0.7","-2.2"
